title, link, reason
"do pretrained transformers really learn incontext by gradient descent, httparxivorgpdf231008540v1pdf", About fine-tuning,
"ccprompt counterfactual contrastive prompttuning for manyclass classification, httparxivorgpdf221105987v1pdf", About fine-tuning,
"one step of gradient descent is provably the optimal incontext learner with one layer of linear selfattention, httparxivorgpdf230703576v1pdf", Different type of prompt?,
"cyclealign iterative distillation from blackbox llm to whitebox models for better human alignment, httparxivorgpdf231016271v1pdf", About fine-tuning,
"transformers are efficient incontext estimators for wireless communication, httparxivorgpdf231100226v1pdf", About fine-tuning,
scaling incontext demonstrations with structured attention,http://arxiv.org/pdf/2307.02690v1.pdf,new architecture
incontext learning and induction heads,http://arxiv.org/pdf/2209.11895v1.pdf,new architecture
what makes good examples for visual incontext learning,http://arxiv.org/pdf/2301.13670v2.pdf,visual only
mmicl empowering visionlanguage model with multimodal incontext learning,http://arxiv.org/pdf/2309.07915v2.pdf,visual only
visual incontext learning for fewshot eczema segmentation,http://arxiv.org/pdf/2309.16656v1.pdf,visual only
scone benchmarking negation reasoning in language models with finetuning and incontext learning,http://arxiv.org/pdf/2305.19426v1.pdf,fine-tuning
can whisper perform speechbased incontext learning,http://arxiv.org/pdf/2309.07081v1.pdf,speech
salm speechaugmented language model with incontext learning for speech recognition and translation,http://arxiv.org/pdf/2310.09424v1.pdf,speech
can foundation models help us achieve perfect secrecy,http://arxiv.org/pdf/2205.13722v2.pdf,overview paper
se factual knowledge in frozen giant code model a study on fqn and its retrieval,http://arxiv.org/pdf/2212.08221v1.pdf,unclear task
incontext learning for attention scheme from single softmax regression to multiple softmax regression via a tensor trick,http://arxiv.org/pdf/2307.02419v1.pdf,new architecture
synergpt incontext learning for personalized drug synergy prediction and drug design,http://arxiv.org/pdf/2307.11694v2.pdf,new architecture
twostage llm finetuning with less specialization and more generalization,http://arxiv.org/pdf/2211.00635v2.pdf,fine-tuning
conceptaware training improves incontext learning ability of language models,http://arxiv.org/pdf/2305.13775v1.pdf,fine-tuning
probing in context toward building robust classifiers via probing large language models,http://arxiv.org/pdf/2305.14171v2.pdf,uses probes for task
towards incontext scene understanding,http://arxiv.org/pdf/2306.01667v2.pdf,visual only
the cost of downscaling language models fact recall deteriorates before incontext learning,http://arxiv.org/pdf/2310.04680v1.pdf,analysis of pruning / LM size
"last one standing a comparative analysis of security and privacy of soft prompt tuning, lora, and incontext learning",http://arxiv.org/pdf/2310.11397v1.pdf,analysis of lora / tuning / ICL
when do prompting and prefixtuning work a theory of capabilities and limitations,http://arxiv.org/pdf/2310.19698v1.pdf,analysis of lora / tuning / ICL
instruct me more! random prompting for visual incontext learning,http://arxiv.org/pdf/2311.03648v1.pdf,visual only
incontext alignment chat with vanilla language models before finetuning,http://arxiv.org/pdf/2308.04275v1.pdf,fine-tuning
gpt4 vision on medical image classification a case study on covid19 dataset,http://arxiv.org/pdf/2310.18498v1.pdf,visual only
fewshot parameterefficient finetuning is better and cheaper than incontext learning,http://arxiv.org/pdf/2205.05638v2.pdf,fine-tuning
images speak in images a generalist painter for incontext visual learning,http://arxiv.org/pdf/2212.02499v2.pdf,visual only
how does incontext learning help prompt tuning,http://arxiv.org/pdf/2302.11521v1.pdf,fine-tuning
symbol tuning improves incontext learning in language models,http://arxiv.org/pdf/2305.08298v1.pdf,fine-tuning
iterative forward tuning boosts incontext learning in language models,http://arxiv.org/pdf/2305.13016v2.pdf,fine-tuning
estimating large language model capabilities without labeled test data,http://arxiv.org/pdf/2305.14802v2.pdf,out of scope analysis
augmenting language models with longterm memory,http://arxiv.org/pdf/2306.07174v1.pdf,new architecture
o3d offline datadriven discovery and distillation for sequential decisionmaking with large language models,http://arxiv.org/pdf/2310.14403v1.pdf,fine-tuning
deja vu contextual sparsity for efficient llms at inference time,http://arxiv.org/pdf/2310.17157v1.pdf,new architecture
principledriven selfalignment of language models from scratch with minimal human supervision,http://arxiv.org/pdf/2305.03047v1.pdf,fine-tuning
one for all towards training one graph model for all classification tasks,http://arxiv.org/pdf/2310.00149v1.pdf,new architecture
magma multimodal augmentation of generative models through adapterbased finetuning,http://arxiv.org/pdf/2112.05253v2.pdf,fine-tuning
blackbox tuning for languagemodelasaservice,http://arxiv.org/pdf/2201.03514v4.pdf,fine-tuning
contrastive learning for promptbased fewshot language learners,http://arxiv.org/pdf/2205.01308v1.pdf,fine-tuning
exploring length generalization in large language models,http://arxiv.org/pdf/2207.04901v2.pdf,out of scope analysis
explanations from large language models make small reasoners better,http://arxiv.org/pdf/2210.06726v1.pdf,out of scope analysis
visual programming compositional visual reasoning without training,http://arxiv.org/pdf/2211.11559v1.pdf,visual only
"don't generate, discriminate a proposal for grounding language models to realworld environments",http://arxiv.org/pdf/2212.09736v2.pdf,new architecture
neural codec language models are zeroshot text to speech synthesizers,http://arxiv.org/pdf/2301.02111v1.pdf,speech
looped transformers as programmable computers,http://arxiv.org/pdf/2301.13196v1.pdf,out of scope analysis
grounding language models to images for multimodal inputs and outputs,http://arxiv.org/pdf/2301.13823v4.pdf,new architecture
proofnet autoformalizing and formally proving undergraduatelevel mathematics,http://arxiv.org/pdf/2302.12433v1.pdf,new architecture
speak foreign languages with your own voice crosslingual neural codec language modeling,http://arxiv.org/pdf/2303.03926v1.pdf,speech
when braininspired ai meets agi,http://arxiv.org/pdf/2303.15935v1.pdf,overview paper
larger probes tell a different story extending psycholinguistic datasets via incontext learning,http://arxiv.org/pdf/2303.16445v1.pdf,dataset
seggpt segmenting everything in context,http://arxiv.org/pdf/2304.03284v1.pdf,new architecture
towards robust prompts on visionlanguage models,http://arxiv.org/pdf/2304.08479v1.pdf,vision-only
understanding and predicting human label variation in natural language inference through explanation,http://arxiv.org/pdf/2304.12443v1.pdf,out of scope analysis
otter a multimodal model with incontext instruction tuning,http://arxiv.org/pdf/2305.03726v1.pdf,new architecture
transformers learn incontext by gradient descent,http://arxiv.org/pdf/2212.07677v2.pdf, analysis of ICL as a learning algorithm
the closeness of incontext learning and weight shifting for softmax regression,http://arxiv.org/pdf/2304.13276v1.pdf, analysis of ICL as a learning algorithm
what learning algorithm is incontext learning investigations with linear models,http://arxiv.org/pdf/2211.15661v3.pdf, analysis of ICL as a learning algorithm
transformers as algorithms generalization and stability in incontext learning,http://arxiv.org/pdf/2301.07067v2.pdf, analysis of ICL as a learning algorithm
explaining emergent incontext learning as kernel regression,http://arxiv.org/pdf/2305.12766v2.pdf, analysis of ICL as a learning algorithm
label words are anchors an information flow perspective for understanding incontext learning,http://arxiv.org/pdf/2305.14160v1.pdf, analysis of ICL as a learning algorithm
transformers learn to implement preconditioned gradient descent for incontext learning,http://arxiv.org/pdf/2306.00297v1.pdf, analysis of ICL as a learning algorithm
investigating the learning behaviour of incontext learning a comparison with supervised learning,http://arxiv.org/pdf/2307.15411v2.pdf, analysis of ICL as a learning algorithm
incontext learning with transformer is really equivalent to a contrastive learning pattern,http://arxiv.org/pdf/2310.13220v1.pdf, analysis of ICL as a learning algorithm
incontext learning creates task vectors,http://arxiv.org/pdf/2310.15916v1.pdf, analysis of ICL as a learning algorithm
"what and how does incontext learning learn bayesian model averaging, parameterization, and generalization",http://arxiv.org/pdf/2305.19420v2.pdf, analysis of ICL as a learning algorithm
how do transformers learn incontext beyond simple functions a case study on learning with representations,http://arxiv.org/pdf/2310.10616v1.pdf, analysis of ICL as a learning algorithm
transformers learn higherorder optimization methods for incontext learning a study with linear models,http://arxiv.org/pdf/2310.17086v1.pdf, analysis of ICL as a learning algorithm
"a contemporaneous infrared flash from a long gammaray burst an echo from the central engine,httpdxdoiorg101038nature03520",Not prompting related,
"stellar explosions by magnetic towers,httpdxdoiorg101086505621",Not prompting related,
"high energy radiation from gamma ray bursts,httpdxdoiorg10106311291372",Not prompting related,
"the fireball shock model of gamma ray bursts,httpdxdoiorg10106311361591",Not prompting related,
"origin of gamma ray bursters,httpdxdoiorg101143ptps136300",Not prompting related,
"the updated e_peak e_gamma correlation in grbs,httpdxdoiorg101393ncci2005100460",Not prompting related,
"gammaray burst early afterglows,httpdxdoiorg10106312141841",Not prompting related,
"mevgev emission from neutronloaded short gammaray burst jets,httpdxdoiorg101086507261",Not prompting related,
"a two component jet model for the xray afterglow flat segment in short grb 051221a,httpdxdoiorg101086512971",Not prompting related,
"the shallow phase of xray afterglows,httpdxdoiorg10106312943505",Not prompting related,
"hyperaccretion after the blandfordznajek process a new model for grbs with xray flares observed in early afterglows,httpdxdoiorg101088100992718404",Not prompting related,
"high energy gammaray emission from gammaray bursts before glast,httpdxdoiorg101007s114670080033z",Not prompting related,
"expected performance of a hard xray polarimeter (polar) by monte carlo simulation,httpdxdoiorg101016jnima200904033",Not prompting related,
"what do we know about gammaray bursts,httparxivorgabs10094648v2",Not prompting related,
"possible origin of rapid variability of gammaray bursts due to convective energy transfer in hyperaccretion disks,httpdxdoiorg101111j13652966201119733x",Not prompting related,
"gammaray burst without baryonic and magnetic load,httpdxdoiorg101143ptp126555",Not prompting related,
"the physical origin of optical flares following grb 110205a and the nature of the outflow,httpdxdoiorg101088167445271111007",Not prompting related,
"magnetic structures in gammaray burst jets probed by gammaray polarization,httpdxdoiorg101088204182057581l1",Not prompting related,
"astrophysical zev acceleration in the relativistic jet from an accreting supermassive blackhole,httpdxdoiorg101016jastropartphys201402004",Not prompting related,
"neutrinocooled accretion model with magnetic coupling for xray flares in grbs,httpdxdoiorg1010880004637x7732142",Not prompting related,
"jet luminosity from neutrinodominated accretion flows in grbs,httparxivorgabs13083236v1",Not prompting related,
"3d manipulation with scanning near field optical nanotweezers,httpdxdoiorg101038nnano201424",Not prompting related,
"tuning a multiple classifier system for side effect discovery using genetic algorithms,httparxivorgabs14091053v1",Not prompting related,
"moltensalt depleteduranium reactor,httparxivorgabs150303183v1",Not prompting related,
"xray flares in grbs general considerations and photospheric origin,httpdxdoiorg101093mnraslslw003",Not prompting related,
"waterinduced bimetallic alloy surface segregation a first principle study,httparxivorgabs160102346v1",Not prompting related,
"rates and singlettriplet ratios from tadf transients,httparxivorgabs160308998v2",Not prompting related,
"physical limits to magnetogenetics,httpdxdoiorg107554elife17210",Not prompting related,
"the dark side of ethical robots,httparxivorgabs160602583v1",Not prompting related,
"numerical and analytical solutions of neutrinodominated accretion flows with a nonzero torque boundary condition and its applications in gammaray bursts,httpdxdoiorg103847153843578332129",Not prompting related,
"highenergy emission as signature of magnetic field amplification in neutron star mergers,httparxivorgabs170101184v1",Not prompting related,
"gammaray burst models in light of the grb 170817a gw170817 connection,httparxivorgabs180207328v1",Not prompting related,
"surface modified mesoporous gc3n4@feni3 as prompt and proficient magnetic adsorbent for crude oil recovery,httpdxdoiorg101016japsusc201812166",Not prompting related,
"the perfect state transfer graph limbo,httparxivorgabs180800696v2",Not prompting related,
"variabilities of gammaray bursts from black hole hyperaccretion disks,httpdxdoiorg101093mnrasstw1985",Not prompting related,
"data driven exploratory attacks on black box classifiers in adversarial domains,httpdxdoiorg101016jneucom201802007",Not prompting related,
"migrating large codebases to c++ modules,httpdxdoiorg1010881742659615251012051",Not prompting related,
"mn(ii)doped 2d perovskite for light emitting devices,httparxivorgabs190605099v1",Not prompting related,
"deep sequential feature learning in clinical image classification of infectious keratitis,httparxivorgabs200602666v1",Not prompting related,
"hydrodynamics of corecollapse supernovae and their progenitors,httpdxdoiorg101007s4111502000085",Not prompting related,
"xray plateaus in $γ$ray bursts explained by structured jets,httparxivorgabs200613966v1",Not prompting related,
"polar a spaceborne xray polarimeter for transient sources,httpdxdoiorg105194astra7432011",Not prompting related,
"the change of grb polarization angles in the magneticdominated jet model,httpdxdoiorg101093mnrasstu2051",Not prompting related,
"perspective quantum thermodynamics,httpdxdoiorg10108813672630181011002",Not prompting related,
"observational evidence for mass ejection accompanying short gamma ray bursts,httpdxdoiorg101093mnraslslx131",Not prompting related,
"photospheric emission from variable engine gamma ray burst simulations,httpdxdoiorg10384715384357aaeed1",Not prompting related,
"the divideandconquer framework a suitable setting for the ddm of the future,httparxivorgabs190100229v1",Not prompting related,
"spectral puzzle of the offaxis gammaray burst in gw170817,httpdxdoiorg101093mnrasstz1650",Not prompting related,
"equationofstate, critical constants, and thermodynamic properties of lithium at high energy density,httpdxdoiorg10106315143308",Not prompting related,
"interpreting the xray afterglows of gammaray bursts with radiative losses and millisecond magnetars,httpdxdoiorg101093mnrasstaa3090",Not prompting related,
"wavelet denoising and attentionbased rnnarima model to predict forex price,httparxivorgabs200806841v1",Not prompting related,
"testing blandfordznajek mechanism in black hole hyperaccretion flows for longduration gammaray bursts,httpdxdoiorg10384715384357abd6bd",Not prompting related,
"deep learningbased detection of the acute respiratory distress syndrome what are the models learning,httparxivorgabs210912323v1",Not prompting related,
"continuationpassing style, defunctionalization, accumulations, and associativity,httpdxdoiorg1022152programmingjournalorg202267",Not prompting related,
"helyos a customized offtheshelf solution for autonomous driving applications in delimited areas,httpdxdoiorg101109sii55687202310039276",Not prompting related,
"the structure of gamma ray burst jets,httparxivorgabs220611088v2",Not prompting related,
